,plant_english_name,plant_infos,plant_water_need,plant_light_need,plant_fertilizer_need,plant_defficulty_level,plant_water_Needs,plant_sunlight_needs,plant_toxicity,plant_humidity,plant_soil,plant_dormancy,plant_flower,plant_growth_pattern,plant_common_issues,plant_yellow_leaves
0,Golden Pothos,Feng shui experts say placing golden pothos in sharp corners or angles in your home can reduce anxiety and stress. 😌,"Golden Pothos needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Golden Pothos can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Golden Pothos is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Golden Pothos prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Golden Pothos can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Golden Pothos is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        Golden Pothos doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Golden Pothos does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Golden Pothos to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
                        
                        Golden Pothos does not flower.
                        
                    ","
                        
                        Golden Pothos is a naturally climbing plant and can be trained to climb indoors if you provide a moss pole or trellis. The newest growth will emerge from the end of the stems. 
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Golden Pothos, since they are sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
1,Snake Plant,"Records of Dracaena fossils have been found in Europe and North Africa, near the site of the Tethys Ocean, which existed 252 to 66 million years ago. More recently, snake plant leaves and stems have been used to treat fever, pain, bleeding, and inflammation throughout many cultures in Africa and India. 🤒","Snake Plant needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Snake Plant can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Snake Plant is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Snake Plant thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Snake Plant can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Snake Plant is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        Snake Plant prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        Snake Plant does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Snake Plant to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
Yes, you may see your Snake Plant bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        Snake Plant is a clumping plant, meaning new growth will emerge from the soil around the parent plant.
                        
                    ","

Overwatering is a likely cause of issues with Snake Plant. These plants are very sensitive to wet soil so if you notice your plant becoming squishy or translucent, overwatering is the likely culprit.
 Cut your plant just past where the rot ends and allow it to callus over for a few days before replanting it in fresh, dry soil. Download Greg to make sure your plant never gets overwatered again!
",
2,Monstera,"Monstera deliciosa is a species of flowering plant native to the tropical rainforests of southern Mexico down to Colombia. Both the root and leaf have a long history of use in traditional medicine. In Mexico, a leaf or root infusion is taken daily to relieve arthritis. In Martinique, the root is used in remedies for snakebites. 🤒","Monstera needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Monstera may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Monstera is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Monstera prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Monstera may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Monstera is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        Monstera doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Monstera does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Monstera to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
                        
                        Monstera produces flowers in the wild, but does not flower when kept as houseplants.
                        
                    ","
                        
                        Monstera is a naturally climbing plant and can be trained to climb indoors if you provide a moss pole or trellis. The newest growth will emerge from the end of the stems. 
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Monstera, since they are sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
3,Aloe vera,"Sunburnt folks around the world turn to Aloe to soothe their skin, but did you know humans have been using Aloe for almost 4,000 years? 🤯","Aloe vera needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Aloe vera love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Aloe vera is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Aloe vera thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Aloe vera requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Aloe vera is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        Aloe vera prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        Aloe vera is very sensitive to wet soil, so choose a potting soil that drains very well and doesn’t retain too much moisture. A good soil will have lots of perlite or vermiculite for drainage and some organic matter for nutrition. A few handfuls of perlite added to regular store-bought cactus soil will do the trick!
                        
                    ",It’s common for Aloe vera to go dormant in the summertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
Yes, you may see your Aloe vera bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        Aloe vera grows vertically and new growth will emerge from the top of the plant.
                        
                    ","

Overwatering is a likely cause of issues with Aloe vera. These plants are very sensitive to wet soil so if you notice your plant becoming squishy or translucent, overwatering is the likely culprit.
 Cut your plant just past where the rot ends and allow it to callus over for a few days before replanting it in fresh, dry soil. Download Greg to make sure your plant never gets overwatered again!
",
4,Spider Plant,"Spider plants are an incredibly popular houseplant known for their ability to grow plantlets along their stems. These plantlets can be removed and grown to create new plants! Spider plants are used as a charm of protection by the Nguni people of South Africa, who dip the roots of spider plants in water to make a tea for pregnant mothers. 🫖","Spider Plant needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Spider Plant can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Spider Plant is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Spider Plant prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Spider Plant can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Spider Plant is not known to cause harm to humans or pets. Regardless, if you, a family member, a cat, or dog has ingested any plant material, please consult a doctor or a veterinarian. 
                    ","
                        
                        Spider Plant doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Spider Plant does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,"
Yes, you may see your Spider Plant bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        Spider Plant is a clumping plant, meaning new growth will emerge from the soil around the parent plant.
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Spider Plant, since they are sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
5,Jade,"Jade plants have been used for centuries across cultures for their beauty and healing abilities. Tree-like succulents, these houseplants can live with you for your entire life, or longer—up to 100 years! Jade is commonly used in the traditional practice of feng shui, creating energy to harmonize people and their environments—and encourage the flow of money. 💸","Jade needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Jade love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Jade is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Jade thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Jade requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Jade is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        Jade prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        Jade is very sensitive to wet soil, so choose a potting soil that drains very well and doesn’t retain too much moisture. A good soil will have lots of perlite or vermiculite for drainage and some organic matter for nutrition. A few handfuls of perlite added to regular store-bought cactus soil will do the trick!
                        
                    ",It’s common for Jade to go dormant in the summertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
Yes, you may see your Jade bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        Jade will branch off as it grows. To encourage branching, pinch off the newest growth at the tip and the stem will branch off into two.
                        
                    ","

Overwatering is a likely cause of issues with Jade. These plants are very sensitive to wet soil so if you notice your plant becoming squishy or translucent, overwatering is the likely culprit.
 Cut your plant just past where the rot ends and allow it to callus over for a few days before replanting it in fresh, dry soil. Download Greg to make sure your plant never gets overwatered again!
",
6,Peace Lily,"The peace lily is a popular, elegant plant and not actually a lily at all! In fact, they’re more closely related to other houseplants like pothos and Monstera than actual lilies. The white ‘flowers’ are also not flowers, but specialized leaves that protect the tiny blossoms on the stalk in the center. Their ‘flowers’ may last as long as two months and they will continue to rebloom over time in the right conditions. ☮️","Peace Lily needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Peace Lily may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Peace Lily is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Peace Lily prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Peace Lily may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Peace Lily is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        Peace Lily doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Peace Lily does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ","Peace Lily does not have a typical pattern of dormancy. If you notice their growth slowing down substantially, double check that they are getting enough sunlight and water to thrive!","
Yes, you may see your Peace Lily bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        Peace Lily is a clumping plant, meaning new growth will emerge from the soil around the parent plant.
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Peace Lily, since they are sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
7,ZZ plant,"The ZZ Plant is a popular succulent houseplant in the Araceae (aroid) family. This low-maintenance plant will slowly reach a mature height and width of around 3 feet. It stores water in its thick leafstalks and tuber-like rhizomes under the soil. The species name means ""with leaves like Zamia,"" due to its resemblance to certain cycad plants.","ZZ plant needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.",ZZ plant can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        ZZ plant is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        ZZ plant thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        ZZ plant can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    ZZ plant is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        ZZ plant prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        ZZ plant is very sensitive to wet soil, so choose a potting soil that drains very well and doesn’t retain too much moisture. A good soil will have lots of perlite or vermiculite for drainage and some organic matter for nutrition. A few handfuls of perlite added to regular store-bought cactus soil will do the trick!
                        
                    ",It’s common for ZZ plant to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,"
                        
                        ZZ plant grows vertically and new growth will emerge from the top of the plant.
                        
                    ",,
8,Chinese Money Plant,"The Chinese money plant was shared through cuttings and grown as a houseplant for 20 years before it was known or studied by British botanists! Pilea peperomioides was first collected in 1906 in the Tsangshan mountain range, which rises to almost 14,000 feet altitude just west of the ancient city of Dali in western Yunnan, China. ⛰","Chinese Money Plant needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Chinese Money Plant may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Chinese Money Plant is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Chinese Money Plant prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Chinese Money Plant may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Chinese Money Plant is not known to cause harm to humans or pets. Regardless, if you, a family member, a cat, or dog has ingested any plant material, please consult a doctor or a veterinarian. 
                    ","
                        
                        Chinese Money Plant doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Chinese Money Plant does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Chinese Money Plant to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
Yes, you may see your Chinese Money Plant bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        Chinese Money Plant grows vertically and new growth will emerge from the top of the plant.
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Chinese Money Plant, since they are sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
9,Fiddle Leaf Fig,"The fiddle leaf fig is a tree from Central and West Africa. The species name, lyrata, refers to the leaves’ shape of a lyre, a small string instrument played in Ancient Greece. The plant has a uniquely and mutually beneficial relationship with specific kinds of wasps. In fact, every plant in the Ficus genus has a unique wasp species which will lay its eggs in the fruits of only its favorite species! 🐝","Fiddle Leaf Fig needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Fiddle Leaf Fig may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Fiddle Leaf Fig is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Fiddle Leaf Fig prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Fiddle Leaf Fig may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Fiddle Leaf Fig is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        Fiddle Leaf Fig doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Fiddle Leaf Fig does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Fiddle Leaf Fig to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
                        
                        Fiddle Leaf Fig does not flower.
                        
                    ","
                        
                        Fiddle Leaf Fig will branch off as it grows. To encourage branching, pinch off the newest growth at the tip and the stem will branch off into two.
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Fiddle Leaf Fig, since they are sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
