,plant_name,plant_place,plant_grow_tmp_code,plant_grow_tmp,plant_req_sun,plant_manage_code,plant_manage,plant_water_spring_code,plant_water_spring,plant_water_summer_code,plant_water_summer,plant_water_autumn_code,plant_water_autumn,plant_water_winter_code,plant_water_winter,plant_soil,plant_humidity_code,plant_humidity
0,가울테리아,"거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",082002,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",089002,경험자,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053004,화분 흙 대부분 말랐을때 충분히 관수함,"토양 : 중성,산성 / 배수 잘 됨 (Loam,Sand)",083002,40 ~ 70%
1,개운죽,"거실 내측 (실내깊이 300~500cm),거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",082002,16~20℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",089001,초보자,053002,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),053002,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),053002,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),053003,토양 표면이 말랐을때 충분히 관수함,,083002,40 ~ 70%
2,골드크레스트 '윌마',"거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",082002,16~20℃,"높은 광도(1,500~10,000 Lux)",089002,경험자,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053004,화분 흙 대부분 말랐을때 충분히 관수함,,083002,40 ~ 70%
3,공작야자,"거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",082003,21~25℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",089002,경험자,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,"토양-중성,산성/배수잘됨/타입-Loam",083003,70% 이상
4,관엽베고니아,"거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",082002,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",089002,경험자,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,,083002,40 ~ 70%
5,관음죽,"실내 어두운 곳 (실내깊이 500 이상cm),거실 내측 (실내깊이 300~500cm),거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",082002,16~20℃,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",089002,경험자,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053004,화분 흙 대부분 말랐을때 충분히 관수함,"중성,산성 / 배수 잘 됨 / 타입-Loam, Sand",083002,40 ~ 70%
6,구문초,"거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",082002,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",,,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053004,화분 흙 대부분 말랐을때 충분히 관수함,,083002,40 ~ 70%
7,구즈마니아,"거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",082003,21~25℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",089002,경험자,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,,083002,40 ~ 70%
8,군자란,"거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",082002,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",089002,경험자,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053004,화분 흙 대부분 말랐을때 충분히 관수함,,083002,40 ~ 70%
9,글레코마,"거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",082002,16~20℃,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",089001,초보자,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053004,화분 흙 대부분 말랐을때 충분히 관수함,,083002,40 ~ 70%
